colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
1556356213.984643213,1556356213.993778221,1556356213.985215540,
1556356214.018159382,1556356214.027147285,1556356214.035209362,
1556356214.085182421,1556356214.093941919,1556356214.085217296,
1556356214.118698589,1556356214.127298109,1556356214.135212690,
1556356214.185730450,1556356214.194049828,1556356214.185215134,
1556356214.219246380,1556356214.227459661,1556356214.235210767,
1556356214.286266081,1556356214.294198744,1556356214.285213599,
1556356214.319765322,1556356214.327567808,1556356214.335231384,
1556356214.386814110,1556356214.394353621,1556356214.385212855,
1556356214.420330040,1556356214.427722685,1556356214.435212763,
1556356214.487362139,1556356214.494469635,1556356214.485212291,
1556356214.520879023,1556356214.527783625,1556356214.535211226,
1556356214.587994568,1556356214.594467155,1556356214.585575119,
1556356214.621510736,1556356214.627641193,1556356214.635213205,
1556356214.688542835,1556356214.694315426,1556356214.685214143,
1556356214.722097628,1556356214.727664463,1556356214.735212289,
1556356214.789129488,1556356214.794403545,1556356214.785216067,
1556356214.822645657,1556356214.827771656,1556356214.835210264,
1556356214.889576427,1556356214.894500725,1556356214.885220843,
1556356214.923092596,1556356214.927870743,1556356214.935235343,
1556356214.990120165,1556356214.994603626,1556356214.985210401,
1556356215.023636095,1556356215.027967445,1556356215.035252692,
1556356215.090602629,1556356215.094712965,1556356215.085215036,
1556356215.124118559,1556356215.128082029,1556356215.135217838,
1556356215.191216223,1556356215.194850437,1556356215.185213444,
1556356215.224723570,1556356215.228219501,1556356215.235211829,
1556356215.291755669,1556356215.294988148,1556356215.285223356,
1556356215.325214617,1556356215.328358166,1556356215.335212313,
1556356215.392303698,1556356215.395096056,1556356215.385214179,
1556356215.425819628,1556356215.428465120,1556356215.435217109,
1556356215.492868416,1556356215.495417587,1556356215.485213625,
1556356215.526394121,1556356215.528786652,1556356215.535484633,
1556356215.593425982,1556356215.595525496,1556356215.585228283,
1556356215.626915686,1556356215.628772013,1556356215.635238115,
1556356215.693947546,1556356215.695390455,1556356215.685241571,
1556356215.727442495,1556356215.728760473,1556356215.735243729,
1556356215.794474356,1556356215.795472614,1556356215.785220500,
1556356215.828075878,1556356215.828841679,1556356215.835660494,
1556356215.895136826,1556356215.895580523,1556356215.885212298,
1556356215.928993694,1556356215.928949587,1556356215.935210935,
1556356215.996025793,1556356215.995683901,1556356215.985209851,
1556356216.029541723,1556356216.029052727,1556356216.035221004,
1556356216.096573822,1556356216.095722191,1556356216.085249765,
1556356216.130089752,1556356216.129068844,1556356216.135213821,
1556356216.197121851,1556356216.195744507,1556356216.185218498,
1556356216.230637781,1556356216.229113571,1556356216.235315543,
1556356216.297601215,1556356216.295852654,1556356216.285211861,
1556356216.331117146,1556356216.329233400,1556356216.335211849,
1556356216.398144714,1556356216.395965330,1556356216.385223226,
1556356216.431660883,1556356216.429336779,1556356216.435211910,
1556356216.498692743,1556356216.496074669,1556356216.485210127,
1556356216.532213203,1556356216.529449455,1556356216.535281438,
1556356216.599285118,1556356216.596198074,1556356216.585233803,
1556356216.632907383,1556356216.629607908,1556356216.635794295,
1556356216.700039618,1556356216.696346991,1556356216.685212100,
1556356216.733615391,1556356216.729687445,1556356216.735219998,
1556356216.801315777,1556356216.796454899,1556356216.785208890,
